naslov,publisher
Grandia,SCEA

Colors! 3D,Collecting Smiles

Destiny: The Taken King,Activision

NBA 2K11,2K Sports

Horizon Zero Dawn,SCEA

Horizon Zero Dawn,Sony Interactive Entertainment

NBA 2K11,2K Sports

Injustice 2,Warner Bros. Interactive Entertainment

Minecraft: PlayStation 4 Edition,SCEA

Minecraft: PlayStation 4 Edition,Mojang AB

Dark Souls,Namco Bandai Games

Stardew Valley,Chucklefish

Prince of Persia: The Sands of Time,Ubisoft

What Remains of Edith Finch,Annapurna Interactive

Top Spin,Microsoft Game Studios

ESPN NBA Basketball,Sega

Tiger Woods PGA Tour 2004,EA Sports

Tom Clancy's Splinter Cell,Ubisoft

NHL 2K3,Sega

NBA Street,Electronic Arts

Railroad Tycoon II,Gathering

Burnout Paradise,Electronic Arts

Asgard's Wrath,Oculus Studios

Wipeout Pure,SCEA

The Beatles: Rock Band,MTV Games

XCOM 2: War of the Chosen,2K Games

Fallout 4,Bethesda Softworks

DUSK,New Blood Interactive

Tiger Woods PGA Tour 2005,EA Sports

Microsoft Flight Simulator 2004: A Century of Flight,Microsoft Game Studios

NBA Street Vol. 2,Electronic Arts

Medieval: Total War,Activision

Shenmue II,SegaSoft

NHL 2001,EA Sports

Excitebike 64,Nintendo

R4: Ridge Racer Type 4,Namco

Shadow Complex,Microsoft Game Studios

